# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2012-2020 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Sun Mar 29 15:41:10 EDT 2020
#
# Fields:
# reference,studyfactors,exposurestressors,receptors,studycountries,mediums,exposuremarkers,diseases,phenotypes,authorsummary
#
11435832,,"Agent Orange^D000075182^MESH|Defoliants, Chemical^D003678^MESH",^^^^Veterans,United States,,,Prostatic Neoplasms^D011471^MESH,,Agent Orange may have a role in the causation of some types of cancer but we identified no significant relationship of prostate cancer with Agent Orange exposure in patients referred for prostate biopsy.
11453316,age,"Asbestos, Amphibole^D017636^MESH|Asbestos^D001194^MESH","Mesothelioma, Malignant^disease^C562839^MESH^Subjects with disease:|^^^^Workers",Turkey|United Kingdom,biopsy,CDKN1A^1026^GENE,,,"Diffuse malignant pleural mesothelioma patients with environmental asbestos exposure (vs. occupational exposure) showed more p21 (CDKN1A) immunopositivity; as well, patients with positive immunostaining had longer exposure times and were older than those having negative immunostaining."
11555686,,Propylene Glycol^D019946^MESH,^^^^Study subjects,Sweden,air,Formaldehyde^D005557^MESH|Propylene Glycol^D019946^MESH,Cough^D003371^MESH|Dyspnea^D004417^MESH|Signs and Symptoms^D012816^MESH,,Short exposure to propylene glycol mist from artificial smoke generators may cause acute ocular and upper airway irritation in non-asthmatic subjects.
11665844,,Cyanamide^D003484^MESH|Pesticides^D010575^MESH,^^^^Workers,Italy,,,"Agricultural Workers' Diseases^D000382^MESH|Cardiovascular Diseases^D002318^MESH|Eye Diseases^D005128^MESH|Neurologic Manifestations^D009461^MESH|Poisoning^D011041^MESH|Signs and Symptoms, Digestive^D012817^MESH|Skin Diseases^D012871^MESH|Skin Manifestations^D012877^MESH",,"During Jan-Feb 2001, eight cases of acute illness in the county of Ragusa (Italy) were attributed to exposure to Dormex, a plant growth regulator with hydrogen cyanamide as the active ingredient."
11748036,sex,Dichlorodiphenyl Dichloroethylene^D003633^MESH|Polychlorinated Biphenyls^D011078^MESH,^^^^Study subjects|^^^^Workers,United States,serum,Dichlorodiphenyl Dichloroethylene^D003633^MESH|Polychlorinated Biphenyls^D011078^MESH,,response to steroid hormone^GO:0048545^GO|thyroid hormone metabolic process^GO:0042403^GO,Results from this study suggest that polychlorinated biphenyl exposure and Great Lakes fish consumption are associated with decreased levels of thyroxine and free thyroxine index. The relationships overall are stronger in women than in men.
11874814,disease,"2,4-Dichlorophenoxyacetic Acid^D015084^MESH|alachlor^C000188^MESH|Aldicarb^D000448^MESH|aluminum phosphide^C001864^MESH|Atrazine^D001280^MESH|Benomyl^D001542^MESH|butylate^C023898^MESH|Captan^D002215^MESH|Carbaryl^D012721^MESH|Carbofuran^D002235^MESH|chlorimuron ethyl^C112343^MESH|Chlorpyrifos^D004390^MESH|Coumaphos^D003372^MESH|cyanazine^C007168^MESH|Diazinon^D003976^MESH|Dicamba^D003996^MESH|Dichlorvos^D004006^MESH|EPTC^C036251^MESH|Fonofos^D004397^MESH|glyphosate^C010974^MESH|Hexachlorocyclohexane^D001556^MESH|imazethapyr^C093630^MESH|Malathion^D008294^MESH|Maneb^D008344^MESH|metalaxyl^C028175^MESH|metolachlor^C051786^MESH|metribuzin^C009235^MESH|Paraquat^D010269^MESH|Parathion^D010278^MESH|pendimethalin^C030856^MESH|Permethrin^D026023^MESH|Petroleum^D010578^MESH|Phorate^D010702^MESH|terbufos^C012568^MESH|tetrachloroisophthalonitrile^C005806^MESH|Trichlorfon^D014236^MESH|Trifluralin^D014274^MESH|Ziram^D015039^MESH","Asthma^disease^D001249^MESH^Subjects with disease:|Ige Responsiveness, Atopic^disease^C564133^MESH^Subjects with disease:|^^^^Workers",United States,,,Agricultural Workers' Diseases^D000382^MESH|Respiratory Sounds^D012135^MESH,,"Prevalence of wheeze was associated with individual pesticides independent of animals, crops, and grains."
11920964,race,Pesticides^D010575^MESH,^^^^Workers,United States,,,Agricultural Workers' Diseases^D000382^MESH,,This paper describes the pesticide use profile and occurrence of pesticide-related health symptoms among black farmers as compared to white farmers who are part of a large cohort of licensed pesticide applicators.
11956123,,Arsenic^D001151^MESH,^^^^Study subjects,"Taiwan, Province of China",,Arsenic^D001151^MESH,Carotid Artery Diseases^D002340^MESH,,"Carotid atherosclerosis is associated with ingested inorganic arsenic, showing a significant biological gradient."
12003754,,Pesticides^D010575^MESH,^^^^Pregnant females,United States,air,2-phenylphenol^C004369^MESH|Aldrin^D000452^MESH|Carbaryl^D012721^MESH|Chlordan^D002706^MESH|Chlorpyrifos^D004390^MESH|cyfluthrin^C052570^MESH|DDT^D003634^MESH|Diazinon^D003976^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Dichlorvos^D004006^MESH|Dicofol^D004010^MESH|Dieldrin^D004026^MESH|Endosulfan^D004726^MESH|Endrin^D004732^MESH|folpet^C005020^MESH|Heptachlor^D006533^MESH|Hexachlorocyclohexane^D001556^MESH|Malathion^D008294^MESH|Methoxychlor^D008731^MESH|Methyl Parathion^D008743^MESH|nonachlor^C001870^MESH|Permethrin^D026023^MESH|Piperonyl Butoxide^D010882^MESH|Propoxur^D001074^MESH,,,These results show widespread pesticide use and exposure during pregnancy among a cohort of African-American and Dominican women from minority communities of New York City.
12117638,,Tetrachlorodibenzodioxin^D013749^MESH,Endometriosis^disease^D004715^MESH^Controls for disease:|Endometriosis^disease^D004715^MESH^Subjects with disease:|^^^^Study subjects,Italy,serum,Tetrachlorodibenzodioxin^D013749^MESH,Endometriosis^D004715^MESH,,"In summary, we found a doubled, nonsignificant, risk for endometriosis among women with serum TCDD levels of >= 100 parts per trillion."
12151470,,Dust^D004391^MESH|Flavoring Agents^D005421^MESH,^^^^Workers,United States,"air, indoor",Diacetyl^D003931^MESH|Dust^D004391^MESH,Airway Obstruction^D000402^MESH|Bronchiolitis Obliterans^D001989^MESH|Occupational Diseases^D009784^MESH,,The excess rates of lung disease and lung-function abnormalities and the relation between exposure and outcomes in this working population indicate that they probably had occupational bronchiolitis obliterans caused by the inhalation of volatile butter-flavoring ingredients.
12173534,,"Air Pollutants, Occupational^D000395^MESH",^^^^Workers,Turkey,blood,Lead^D007854^MESH,,,"We report the blood lead levels of traffic policemen in Bursa (Turkey), and find a difference between the levels in policemen working outdoors vs indoors."
12409534,,Isocyanates^D017953^MESH,^^^^Workers,United Kingdom,,,Lung Neoplasms^D008175^MESH|Respiratory Tract Diseases^D012140^MESH,,The study has been unable to link isocyanate exposed employment either with risks of lung cancer or with risks of non-malignant diseases of the respiratory system.
12415488,diet,Carbaryl^D012721^MESH|Chlorpyrifos^D004390^MESH|naphthalene^C031721^MESH|Pentachlorophenol^D010416^MESH|Pesticides^D010575^MESH,^^^^Study subjects,United States,urine,"1-naphthol^C029350^MESH|2-isopropoxyphenol^C022025^MESH|3,5,6-trichloro-2-pyridinol^C012587^MESH|4-nitrophenol^C024836^MESH|Pentachlorophenol^D010416^MESH",,,"The main objective of our study was to determine whether we could use data from the Third National Health and Nutrition Examination Survey (NHANES III) to detect a relation between self-reported food consumption (particularly consumption of fruits, vegetables, and bread products) and urinary levels of pesticides or their metabolites in a population of 978 adults living in the US."
12505429,,Arsenic^D001151^MESH,^^^^Study subjects,"Taiwan, Province of China",,Arsenic^D001151^MESH,Myocardial Ischemia^D017202^MESH,,It is concluded that ischemic heart disease in the arseniasis-hyperendemic villages in Taiwan was associated with long-term arsenic exposure.
12641193,,Lead^D007854^MESH,^^^^Fetuses|^^^^Infants or newborns|^^^^Mothers,Mexico,"blood|blood, cord|bone, patella|bone, tibia",Lead^D007854^MESH,Prenatal Exposure Delayed Effects^D011297^MESH,head development^GO:0060322^GO,"In our report, we found that KXRF-measured maternal bone lead was associated with birth length and head circumference of the newborn-an effect that persisted after adjustment for birth weight."
12653458,,tetramethylenedisulfotetramine^C010349^MESH,^^^^Infants or newborns,United States,,,Neurotoxicity Syndromes^D020258^MESH,,"This report describes the first known case in the United States of exposure to a Chinese rodenticide containing the toxin tetramethylenedisulfotetramine (TETS), a convulsant poison."
12661183,,perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH,^^^^Workers,United States,serum,perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH,,,"Male and female employees of two perfluorooctanyl-manufacturing locations (Antwerp, Belgium and Decatur, Alabama) participated in a periodic medical surveillance program that included hematology, clinical chemistry, thyroid hormone, and urinalysis testing."
12727674,age,butylate^C023898^MESH|Chlorpyrifos^D004390^MESH|Coumaphos^D003372^MESH|Fonofos^D004397^MESH|methyl bromide^C005218^MESH|Permethrin^D026023^MESH|Phorate^D010702^MESH,^^^^Workers,United States,,,Agricultural Workers' Diseases^D000382^MESH|Prostatic Neoplasms^D011471^MESH,,Use of chlorinated pesticides among applicators over 50 years of age and methyl bromide use were significantly associated with prostate cancer risk.
12777181,,Styrene^D020058^MESH,^^^^Study subjects,Spain,"water, drinking",Styrene^D020058^MESH|Toluene^D014050^MESH,Acute Disease^D000208^MESH|Eye Diseases^D005128^MESH|Gastrointestinal Diseases^D005767^MESH|Respiratory Tract Diseases^D012140^MESH|Skin Diseases^D012871^MESH,,"This accidental contamination led to very high styrene concentrations in water and was related to a high prevalence of subjective symptoms of the eyes, respiratory tract and skin."
12782494,,Chlordan^D002706^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Hexachlorobenzene^D006581^MESH|oxychlordane^C008743^MESH|Polychlorinated Biphenyls^D011078^MESH,^^^^Mothers|Testicular Neoplasms^disease^D013736^MESH^Controls for disease:|Testicular Neoplasms^disease^D013736^MESH^Subjects with disease:,Sweden,blood,Chlordan^D002706^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Hexachlorobenzene^D006581^MESH|oxychlordane^C008743^MESH|Polychlorinated Biphenyls^D011078^MESH,Prenatal Exposure Delayed Effects^D011297^MESH|Testicular Neoplasms^D013736^MESH,,"Blood concentrations of certain persistent organic pollutants are higher in mothers of patients with testicular cancer (case mothers) compared to mothers of subjects without testicular cancer (control mothers), supporiting the possibility that the disease might be initiated from exposure during the fetal period."
12782497,,Tetrachlorodibenzodioxin^D013749^MESH,^^^^Study subjects,Italy,serum,Tetrachlorodibenzodioxin^D013749^MESH,"Abortion, Spontaneous^D000022^MESH|Prenatal Exposure Delayed Effects^D011297^MESH",,"We report the lack of an association between maternal serum levels of TCDD and adverse birth outcomes in the cohort of women exposed to dioxin in Seveso, Italy. However, associations of TCDD and lowered birth weight and SGA are somewhat stronger, albeit nonsignificant, for those pregnancies occurring in the first TCDD half-life (within 8 years) after the explosion."
12819278,,hexachlorobutadiene^C001335^MESH,^^^^Study subjects,United Kingdom,,,Kidney Diseases^D007674^MESH|Proteinuria^D011507^MESH,gene expression^GO:0010467^GO,"This longitudinal study has shown that about half of the adults exposed to hexachlorobutadiene showed evidence of a subclinical proximal tubular effect. Similarly, about a quarter of adults displayed a distal tubular effect."
12819287,,Radioactive Pollutants^D011848^MESH,^^^^Study subjects,Spain,,,Neoplasms^D009369^MESH,,"There is an association between proximity of residence to Trillo and cancer risk, although the limitations of the study should be kept in mind when interpreting the possible causal relation."
12842765,,Diethylhexyl Phthalate^D004051^MESH|phthalic acid^C032279^MESH,^^^^Study subjects,United States,urine,mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH|mono-benzyl phthalate^C103325^MESH|monobutyl phthalate^C028577^MESH|monoethyl phthalate^C581825^MESH,,,"We evaluated exposure to di-(2-ethylhexyl) phthalate in 62 persons, children and adults, by measuring mono-(2-ethylhexyl) phthalate, mono-(2-ethyl-5-oxohexyl) phthalate, and mono-(2-ethyl-5-hydroxyhexyl) phthalate in urine using an adaptation of our isotope dilution HPLC-tandem mass spectrometry method."
12842770,,"2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH",^^^^Study subjects,United States,adipose tissue|serum,"2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH",,,"In this article, we report on additional polybrominated diphenyl ether measurements in adipose and serum from diverse groups of California women, in an effort to better understand sources and pathways leading to the observed high levels."
12842775,,"Metals, Heavy^D019216^MESH|Particulate Matter^D052638^MESH|Smog^D012905^MESH",^^^^Study subjects,United Kingdom,,,"Death^D003643^MESH|Heart Diseases^D006331^MESH|Pulmonary Disease, Chronic Obstructive^D029424^MESH|Respiratory Tract Diseases^D012140^MESH",,We have located and analyzed rare archival tissue samples that provide otherwise unavailable clues to the nature of the fatal PM exposures in the 1952 London smog.
12842778,,Lead^D007854^MESH,,United States,dust|paint,Lead^D007854^MESH,,,"In this article we describe the study sites, demolition processes, changes in exterior dustfall lead loadings, and concentrations in close proximity to the demolition sites (within 10 m) and discuss the public health significance of the findings and implications for future demolition activities."
12842781,,"2,2',3,4,4',5',6-heptabromodiphenyl ether^C483839^MESH|2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|hexabromodiphenyl ether 154^C533761^MESH|pentabrominated diphenyl ether 100^C517827^MESH",^^^^Fetuses|^^^^Pregnant females,United States,"blood, cord|serum","2,2',3,4,4',5',6-heptabromodiphenyl ether^C483839^MESH|2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|hexabromodiphenyl ether 154^C533761^MESH|pentabrominated diphenyl ether 100^C517827^MESH",,,This is the first report of polybrominated diphenyl ether blood levels in pregnant women and their fetuses from the United States.
12842782,,"2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH",^^^^Infants or newborns|^^^^Mothers,Canada,"blood, cord|milk, human|plasma","2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH",,,"Our study aimed to compare different biomarkers of prenatal polychlorinated biphenyl (PCB) exposure and models to predict PCB plasma lipid concentration in 6-month-old infants, using data from the Inuit Cohort Study."
12842783,sex,Herbicides^D006540^MESH,^^^^Infants or newborns,United States,,,Congenital Abnormalities^D000013^MESH,,"Results from this study indicate that in rural, agricultural counties where wheat acreage occupies a larger percentage of the land and where use of chlorophenoxy herbicides is higher, anomalies of the circulatory/respiratory and musculoskeletal/integumental system significantly increased."
12844364,,Methylmercury Compounds^D008767^MESH,^^^^Study subjects,Brazil,hair,Methylmercury Compounds^D008767^MESH,"Cognition Disorders^D003072^MESH|Mercury Poisoning, Nervous System^D020262^MESH",cognition^GO:0050890^GO,This study suggests that adults exposed to methylmercury may be at risk for deficits in neurocognitive function.
12882940,disease|race|sex|socioeconomic status,allergen Bla g 1^C105482^MESH|Allergens^D000485^MESH|Nitrogen Dioxide^D009585^MESH,^^^^Infants or newborns,United States,,,Cough^D003371^MESH|Respiratory Sounds^D012135^MESH,,"In a cohort of 849 infants with an asthmatic sibling, the authors examined the relations of exposure to allergens (dust mite, cockroach, cat, and dog), nitrogen dioxide, and mold with symptoms of wheeze and persistent cough in the first year of life (1998-2000)."
12883022,,Monoterpenes^D039821^MESH|Styrene^D020058^MESH,^^^^Workers,Sweden,air|urine,mandelic acid^C037938^MESH|Monoterpenes^D039821^MESH|Styrene^D020058^MESH|verbenol^C009951^MESH,,,Personal air samplers provide data with similar or superior quality to urinary metabolites as measures of exposure to these monoterpenes in sawmills and styrene in reinforced plastics factories.
12893620,,"Fungicides, Industrial^D005659^MESH|Herbicides^D006540^MESH|Insecticides^D007306^MESH|Pesticides^D010575^MESH|Rodenticides^D012378^MESH",^^^^Children,United States,,"Fungicides, Industrial^D005659^MESH|Herbicides^D006540^MESH|Insecticides^D007306^MESH|Pesticides^D010575^MESH|Rodenticides^D012378^MESH",,,The authors reviewed all pesticide exposures among children younger than 6 years reported to the South Texas Poison Center during 1997 through 2000.
12896852,sex,Carbon Monoxide^D002248^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,^^^^Study subjects,United States,air,Carbon Monoxide^D002248^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Sulfur Dioxide^D013458^MESH,"Arrhythmias, Cardiac^D001145^MESH|Atherosclerosis^D050197^MESH|Heart Failure^D006333^MESH|Myocardial Infarction^D009203^MESH|Pulmonary Heart Disease^D011660^MESH",,"In summary, the results of this study in Denver suggest that ozone increases the risk of hospitalization for acute myocardial infarction, coronary atherosclerosis, and pulmonary heart disease. Sulfur dioxide appears to be related to increased hospital stays for cardiac dysrhythmias, and carbon monoxide is significantly associated with congestive heart failure hospitalization."
12915503,socioeconomic status|tobacco,Tobacco Smoke Pollution^D014028^MESH,^^^^Children,Greenland,,,Respiratory Tract Infections^D012141^MESH,,The present study is the first population-based prospective study of risk factors for acute respiratory infections in Inuit children based on active surveillance.
12916744,,Agent Orange^D000075182^MESH,^^^^Veterans,Vietnam,,,Diabetes Mellitus^D003920^MESH|Eczema^D004485^MESH|Heart Valve Diseases^D006349^MESH|Hypertension^D006973^MESH|Myocardial Ischemia^D017202^MESH|Peripheral Nervous System Diseases^D010523^MESH|Radiculopathy^D011843^MESH|Retinal Diseases^D012164^MESH,,We conclude that exposure to Agent Orange is associated with various health impacts in Korean Vietnam veterans.
12934964,,Arsenic^D001151^MESH,^^^^Study subjects,Mongolia,"water, well",Arsenic^D001151^MESH,"Abortion, Spontaneous^D000022^MESH|Arrhythmias, Cardiac^D001145^MESH|Cough^D003371^MESH|Skin Diseases^D012871^MESH|Stomach Diseases^D013272^MESH|Urinary Bladder Diseases^D001745^MESH",,"The present study indicated that there was a high odds ratio of subjective symptoms including cough, stomachache, palpitations, urination  problems and spontaneous abortion amongst residents in the arsenic-affected village."
12937191,,Industrial Waste^D007220^MESH|Tetrachlorodibenzodioxin^D013749^MESH,^^^^Study subjects,Italy,,,Sarcoma^D012509^MESH,,"The study shows a significant increase in risk of soft tissue sarcomas associated with residence within 2 km of an industrial waste incinerator; an aetiological role of 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) can be hypothesised."
12937192,age|sex,Air Pollutants^D000393^MESH,^^^^Study subjects,France,air,Air Pollutants^D000393^MESH,Death^D003643^MESH,,We found a significant association between daily mortality and black smoke among the elderly in Bordeaux.
12937195,,Lead^D007854^MESH,^^^^Workers,Singapore,blood|saliva,Lead^D007854^MESH,,,The study findings do not support the use of salivary lead for biomonitoring at blood lead levels ranging from 10 to 50 micrograms per deciliter.
12948887,,"2,4-Dichlorophenoxyacetic Acid^D015084^MESH|acetochlor^C043377^MESH|alachlor^C000188^MESH|Atrazine^D001280^MESH|DEET^D003671^MESH|Diazinon^D003976^MESH|Malathion^D008294^MESH|metolachlor^C051786^MESH","Infertility, Male^disease^D007248^MESH^Controls for disease:|Infertility, Male^disease^D007248^MESH^Subjects with disease:|^^^^Study subjects",United States,semen,"2,4-Dichlorophenoxyacetic Acid^D015084^MESH|acetochlor^C043377^MESH|alachlor^C000188^MESH|Atrazine^D001280^MESH|DEET^D003671^MESH|Diazinon^D003976^MESH|Malathion^D008294^MESH|metolachlor^C051786^MESH","Infertility, Male^D007248^MESH",,This is the first population-based study to demonstrate links between specific biomarkers of environmental exposures and biomarkers of male reproduction in humans.
12948891,,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Polychlorinated Biphenyls^D011078^MESH",^^^^Study subjects,United States,serum,"2,2',3',4,4',5-hexachlorobiphenyl^C029790^MESH|2,3',4,4',5-pentachlorobiphenyl^C070055^MESH|2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|Polychlorinated Biphenyls^D011078^MESH",,spermatogenesis^GO:0007283^GO|sperm motility^GO:0097722^GO,"To explore the hypothesis that environmental exposures to polychlorinated biphenyls and dichlorodiphenyldichloroethylene are associated with altered semen parameters, we conducted a cross-sectional study of 212 male partners of subfertile couples who presented to the Massachusetts General Hospital Andrology Laboratory."
12948892,,Nitrogen Dioxide^D009585^MESH|Particulate Matter^D052638^MESH|Soot^D053260^MESH|Vehicle Emissions^D001335^MESH,^^^^Children,Netherlands,air,Nitrogen Dioxide^D009585^MESH|Particulate Matter^D052638^MESH|Soot^D053260^MESH,"Bronchitis^D001991^MESH|Conjunctivitis^D003231^MESH|Exanthema^D005076^MESH|Respiratory Sounds^D012135^MESH|Rhinitis, Allergic, Seasonal^D006255^MESH",,Our study showed that children attending schools close to motorways with high truck traffic counts in the Netherlands experienced more respiratory symptoms than did children attending schools near motorways with low truck traffic counts.
12948893,,Dioxins^D004147^MESH,^^^^Children|^^^^Fetuses|^^^^Infants or newborns,Netherlands,"milk, human|serum",Dioxins^D004147^MESH|THPO^7066^GENE,Hypersensitivity^D006967^MESH|Thrombocytopenia^D013921^MESH,CD4 biosynthetic process^GO:0045222^GO|gene expression^GO:0010467^GO|immune response^GO:0006955^GO|platelet formation^GO:0030220^GO,"This study provides indications of effects at the stem cell level of perinatal dioxin exposure, persisting until minimally 8 years after birth."
